timestamp,open,high,low,close,volume
2015-01-02,25.34,25.46,24.87,25.06,40919008
2015-01-05,25.01,25.01,24.52,24.6,42033195
2015-01-06,24.46,24.57,23.93,24.07,63740067
2015-01-07,24.21,24.39,23.98,24.08,43638485
2015-01-08,24.32,24.38,24.13,24.37,43197484
2015-01-09,24.52,24.53,23.95,24.03,39213096
2015-01-12,24.07,24.14,23.77,23.98,42867312
2015-01-13,24.26,24.33,23.63,23.86,41333023
2015-01-14,23.65,23.85,23.41,23.78,41832495
2015-01-15,23.86,23.97,23.56,23.58,31471114
2015-01-16,23.51,23.65,23.45,23.59,49793936
2015-01-20,23.84,23.87,23.55,23.85,44521742
2015-01-21,23.83,24.08,23.71,24.04,37618894
2015-01-22,24.3,24.36,23.96,24.28,47115052
2015-01-23,24.43,24.885,24.29,24.48,63737552
2015-01-26,24.72,24.74,24.4,24.59,39173398
2015-01-27,24.39,24.46,24.2,24.38,38398141
2015-01-28,24.47,24.49,23.81,23.84,49636325
2015-01-29,23.84,24.2,23.78,24.08,40423190
2015-01-30,23.88,24.11,23.82,23.89,54696459
2015-02-02,24.0,24.22,23.9,24.21,39599787
2015-02-03,24.29,24.5272,24.26,24.47,37723846
2015-02-04,24.41,24.43,24.08,24.16,33227446
2015-02-05,24.25,24.5,24.235,24.5,25636578
2015-02-06,24.54,24.75,24.47,24.52,27471599
2015-02-09,24.47,24.75,24.45,24.64,27237482
2015-02-10,24.77,24.7961,24.55,24.72,27075753
2015-02-11,24.71,24.82,24.6,24.77,24453269
2015-02-12,24.81,24.99,24.71,24.89,26522270
2015-02-13,24.99,25.17,24.94,25.15,33076157
2015-02-17,25.12,25.21,24.98,25.17,35986551
2015-02-18,25.29,25.29,25.15,25.25,30738248
2015-02-19,25.03,25.21,24.95,25.01,33230805
2015-02-20,24.88,25.215,24.8,25.21,39889162
2015-02-23,25.22,25.3,25.1,25.17,30736744
2015-02-24,25.12,25.45,25.09,25.39,42464097
2015-02-25,25.45,26.06,25.44,25.91,68219592
2015-02-26,25.94,26.01,25.81,25.89,38246220
2015-02-27,25.83,26.27,25.75,25.99,51526554
2015-03-02,25.88,26.12,25.85,26.11,32406831
2015-03-03,26.05,26.08,25.78,25.86,30540241
2015-03-04,25.76,25.77,25.47,25.66,31439760
2015-03-05,25.62,25.82,25.5799,25.82,28373771
2015-03-06,25.71,25.78,25.33,25.42,32286776
2015-03-09,25.52,25.7,25.49,25.64,31591142
2015-03-10,25.5,25.64,25.17,25.17,37442079
2015-03-11,25.28,25.49,25.135,25.19,36133460
2015-03-12,25.27,25.41,25.17,25.4,29369497
2015-03-13,25.28,25.36,24.81,25.04,45302949
2015-03-16,25.06,25.48,24.96,25.45,34610233
2015-03-17,25.3,25.39,25.09,25.31,34257086
2015-03-18,25.18,25.8542,25.11,25.64,38234788
2015-03-19,25.44,25.61,25.26,25.33,38305599
2015-03-20,25.34,25.53,25.3,25.4,50632559
2015-03-23,25.48,25.74,25.45,25.47,31983230
2015-03-24,25.38,25.48,25.27,25.27,25785785
2015-03-25,25.23,25.33,24.91,24.91,34891683
2015-03-26,24.8,24.92,24.67,24.8,32500749
2015-03-27,24.92,24.92,24.71,24.86,28257264
2015-03-30,24.98,25.2,24.97,25.12,27280524
2015-03-31,25.09,25.09,24.81,24.81,34933625
2015-04-01,24.72,24.92,24.57,24.84,38749526
2015-04-02,24.81,25.0,24.7,24.94,29213060
2015-04-06,24.9,25.41,24.79,25.18,33441606
2015-04-07,25.17,25.28,25.0,25.02,21259320
2015-04-08,25.05,25.12,24.87,25.01,22439203
2015-04-09,25.09,25.83,24.915,25.73,60097242
2015-04-10,27.13,28.68,27.0,28.51,352640214
2015-04-13,28.06,28.19,27.5,27.63,153984855
2015-04-14,27.48,27.84,27.38,27.73,55777197
2015-04-15,27.69,27.85,27.43,27.46,56420065
2015-04-16,27.29,27.495,27.18,27.28,13210346
2015-04-17,27.33,27.67,26.93,27.25,21395265
2015-04-20,27.32,27.44,27.01,27.02,61686961
2015-04-21,27.03,27.06,26.55,26.62,76872343
2015-04-22,26.7,27.02,26.6,26.91,47055120
2015-04-23,26.78,27.07,26.71,26.85,38161000
2015-04-24,26.88,26.94,26.7,26.8,27713961
2015-04-27,26.96,27.0,26.81,26.88,36214596
2015-04-28,26.95,27.16,26.64,27.12,38424635
2015-04-29,26.95,27.25,26.9,27.09,37151469
2015-04-30,27.06,27.35,26.97,27.08,42976850
2015-05-01,27.09,27.32,26.99,27.31,28303317
2015-05-04,27.36,27.61,27.25,27.27,26190866
2015-05-05,27.25,27.36,26.85,26.92,30346246
2015-05-06,27.0,27.18,26.61,26.81,27760551
2015-05-07,26.78,27.12,26.66,27.04,31038224
2015-05-08,27.25,27.49,27.22,27.36,37217508
2015-05-11,27.25,27.3,26.86,26.92,32444130
2015-05-12,26.82,27.09,26.75,27.03,29789641
2015-05-13,27.02,27.24,26.92,27.21,37170407
2015-05-14,27.32,27.43,27.15,27.41,26963729
2015-05-15,27.38,27.44,27.25,27.27,35761883
2015-05-18,27.21,27.39,27.21,27.31,22488840
2015-05-19,27.27,27.39,27.21,27.35,29150774
2015-05-20,27.34,27.7,27.2,27.64,40168598
2015-05-21,27.68,27.79,27.55,27.72,40307685
2015-05-22,27.69,27.775,27.62,27.68,23289341
2015-05-26,27.52,27.58,27.38,27.52,47463006
2015-05-27,27.57,27.62,27.46,27.52,25324976
